id,Country,Year,GDP,Total_population,Total_number_of_internet_users
15088,14989,14,1482.397588,70938.0,1005.0
15089,14989,14,1482.397588,70938.0,1005.0
15090,14989,14,1482.397588,70938.0,1005.0
15091,14989,14,1482.397588,70938.0,1005.0
15092,14989,14,1482.397588,70938.0,1005.0
15093,14989,14,1482.397588,70938.0,1005.0
15094,14989,14,1482.397588,70938.0,1005.0
15095,14989,14,1482.397588,70938.0,1005.0
15096,14989,14,1482.397588,70938.0,1005.0
15097,14989,14,1482.397588,70938.0,1005.0
15098,14989,15,1583.087611,72440.0,1507.0
15099,14989,15,1583.087611,72440.0,1507.0
15100,14989,15,1583.087611,72440.0,1507.0
15101,14989,15,1583.087611,72440.0,1507.0
15102,14989,15,1583.087611,72440.0,1507.0
15103,14989,15,1583.087611,72440.0,1507.0
15104,14989,15,1583.087611,72440.0,1507.0
15105,14989,15,1583.087611,72440.0,1507.0
15106,14989,15,1583.087611,72440.0,1507.0
15107,14989,15,1583.087611,72440.0,1507.0
15108,14989,15,1583.087611,72440.0,1507.0
15109,14989,15,1583.087611,72440.0,1507.0
15110,14989,16,1567.041215,73851.0,2007.0
15111,14989,16,1567.041215,73851.0,2007.0
15112,14989,16,1567.041215,73851.0,2007.0
15113,14989,16,1567.041215,73851.0,2007.0
15114,14989,16,1567.041215,73851.0,2007.0
15115,14989,16,1567.041215,73851.0,2007.0
15116,14989,16,1567.041215,73851.0,2007.0
15117,14989,16,1567.041215,73851.0,2007.0
15118,14989,16,1567.041215,73851.0,2007.0
15119,14989,16,1567.041215,73851.0,2007.0
15120,14989,16,1567.041215,73851.0,2007.0
15121,14989,16,1567.041215,73851.0,2007.0
15122,14989,17,1624.565342,67418.72727272728,2184.0
15123,14989,18,1658.863228,67418.72727272728,2667.0
15124,14989,19,1644.954584,67418.72727272728,3169.0
15125,14989,20,1744.974858,67418.72727272728,3693.0
15126,14989,21,1758.459498,67418.72727272728,4242.0
15127,14989,22,1800.754894,67418.72727272728,5779.0
15128,14989,23,1756.730343,67418.72727272728,6891.0
15129,14989,24,1745.986907,67418.72727272728,9021.0
15130,14989,25,1716.059227,67418.72727272728,9311.0
15131,14989,26,1749.233461,67418.72727272728,10466.0
15132,14989,27,1837.991938,67418.72727272728,11457.0
15133,14989,28,1921.614459,67418.72727272728,12482.0
15134,14989,29,1917.627413,67418.72727272728,13531.0
15135,14989,30,2110.117273,67418.72727272728,14610.0
15136,14989,31,2210.850719,67418.72727272728,15672.0
15137,14989,32,2227.920995,67418.72727272728,
15138,14989,33,2293.920333,67418.72727272728,
15139,15139,5,10181.75938,,
15140,15139,6,10299.1541,,
15141,15139,7,10897.7138,,
15142,15139,8,11787.88499,,
15143,15139,9,12531.00611,,
15144,15139,10,13336.01796,,
15145,15139,11,14237.99997,,
15146,15139,12,15334.98644,,
15147,15139,13,15301.13904,,
15148,15139,14,15877.40242,,
15149,15139,15,17734.62004,,
