id,Country,Year,GDP,Sex,Age_category,Suicides_number,Number_of_people,Generation,Total_population,Percentage_of_population,Total_number_of_internet_users,Number_of_internet_users
4612,4610,7,6088.138275,,,,,,,,,
4613,4610,8,6190.382225,,,,,,,,,
4614,4610,9,6392.272416,,,,,,,,,
4615,4610,10,6818.180804,,,,,,,,1012.0,
4616,4610,11,7174.163728,,,,,,,,2526.0,
4617,4610,12,7722.300075,,,,,,,,5040.0,
4618,4610,13,7667.659791,,,,,,,,10058.0,
4619,4610,14,8347.874331,,,,,,,,19079.0,
4620,4610,15,8528.969125,,,,,,,,50168.0,
4621,4610,16,8574.343766,,,,,,,,60210.0,
4622,4610,17,9076.228393,,,,,,,,60268.0,
4623,4610,18,9506.492466,,,,,,,,60359.0,
4624,4610,19,9849.796995,,,,,,,,60457.0,
4625,4610,20,10421.37193,,,,,,,,60548.0,
4626,4610,21,11401.3476,,,,,,,,80833.0,
4627,4610,22,12409.29787,,,,,,,,101081.0,
4628,4610,23,13158.84871,,,,,,,,121647.0,
4629,4610,24,12007.23239,,,,,,,,121763.0,
4630,4610,25,12964.35144,,,,,,,,120892.0,
4631,4610,26,13838.60282,,,,,,,,184621.0,
4632,4610,27,14558.06641,,,,,,,,334290.0,
4633,4610,28,16310.10289,,,,,,,,638552.0,
4634,4610,29,17092.12224,,,,,,,,796837.0,
4635,4610,30,16724.51778,,,,,,,,824297.0,
4636,4610,31,17314.77444,,,,,,,,885770.0,
4637,4610,32,17784.84904,,,,,,,,,
4638,4610,33,18615.79334,,,,,,,,,
4639,4639,5,637.673007,,,,,,,,0.0,
4640,4639,6,639.24786,,,,,,,,,
4641,4639,7,595.1240085,,,,,,,,,
4642,4639,8,593.8260264,,,,,,,,,
4643,4639,9,618.1903624,,,,,,,,,
4644,4639,10,658.1958458,,,,,,,,,
4645,4639,11,626.7927287,,,,,,,,201.0,
4646,4639,12,654.7290067,,,,,,,,502.0,
4647,4639,13,676.6514145,,,,,,,,1003.0,
4648,4639,14,694.6384334,,,,,,,,1503.0,
4649,4639,15,676.8110417,,,,,,,,2005.0,
4650,4639,16,706.6981799,,,,,,,,3010.0,
4651,4639,17,728.1662565,,,,,,,,5023.0,
4652,4639,18,687.3649048,,,,,,,,6035.0,
4653,4639,19,733.3177346,,,,,,,,9059.0,
4654,4639,20,748.1942658,,,,,,,,11071.0,
4655,4639,21,791.9856238,,,,,,,,13074.0,
4656,4639,22,834.5316894,,,,,,,,16069.0,
4657,4639,23,852.9298062,,,,,,,,43454.0,
4658,4639,24,919.4085589,,,,,,,,79276.0,
4659,4639,25,962.2919722,,,,,,,,88971.0,
4660,4639,26,1016.218552,,,,,,,,98475.0,
4661,4639,27,1083.689925,,,,,,,,134712.0,
4662,4639,28,699.5928807,,,,,,,,152988.0,
4663,4639,29,710.8121645,,,,,,,,162554.0,
4664,4639,30,744.7345426,,,,,,,,172752.0,
4665,4639,31,780.9055326,,,,,,,,183785.0,
4666,4639,32,821.2162029,,,,,,,,,
4667,4639,33,859.9356196,,,,,,,,,
4668,4668,5,20173.93565,1.0,1.0,149.0,459600.0,1.0,24704400.0,0.01860397338126002,99970.0,1859.8392189245642
4669,4668,5,20173.93565,1.0,2.0,703.0,2372600.0,4.0,24704400.0,0.09603957189812341,99970.0,9601.076002655398
4670,4668,5,20173.93565,1.0,4.0,884.0,3483200.0,3.0,24704400.0,0.14099512637424913,99970.0,14095.282783633686
4671,4668,5,20173.93565,1.0,5.0,484.0,1970600.0,2.0,24704400.0,0.0797671669823999,99970.0,7974.323683230517
4672,4668,5,20173.93565,1.0,3.0,430.0,1969600.0,1.0,24704400.0,0.07972668836320655,99970.0,7970.277035669759
4673,4668,5,20173.93565,2.0,4.0,293.0,3506700.0,3.0,24704400.0,0.14194637392529266,99970.0,14190.379001311507
4674,4668,5,20173.93565,2.0,2.0,154.0,2388600.0,4.0,24704400.0,0.09668722980521688,99970.0,9665.82236362753
4675,4668,5,20173.93565,2.0,3.0,125.0,2216700.0,1.0,24704400.0,0.08972895516588138,99970.0,8970.203647933162
4676,4668,5,20173.93565,2.0,5.0,94.0,1888000.0,2.0,24704400.0,0.07642363303702984,99970.0,7640.070594711873
4677,4668,5,20173.93565,2.0,1.0,32.0,768500.0,1.0,24704400.0,0.031107818850083385,99970.0,3109.848650442836
4678,4668,5,20173.93565,1.0,6.0,23.0,1882100.0,2.0,24704400.0,0.07618480918378913,99970.0,7616.195374103399
4679,4668,5,20173.93565,2.0,6.0,7.0,1798200.0,2.0,24704400.0,0.07278865303346772,99970.0,7276.681643755768
4680,4668,6,20160.72885,1.0,2.0,713.0,2420300.0,4.0,25390400.0,0.09532342932761989,159962.0,15248.126402104734
4681,4668,6,20160.72885,1.0,1.0,139.0,478900.0,1.0,25390400.0,0.01886145944924066,159962.0,3017.1167764194342
4682,4668,6,20160.72885,1.0,5.0,539.0,1943600.0,2.0,25390400.0,0.07654861680005041,159962.0,12244.869840569665
4683,4668,6,20160.72885,1.0,4.0,974.0,3663400.0,4.0,25390400.0,0.14428287856827776,159962.0,23079.777821538846
4684,4668,6,20160.72885,1.0,3.0,490.0,2031500.0,3.0,25390400.0,0.08001055517045813,159962.0,12798.648426176824
4685,4668,6,20160.72885,2.0,4.0,271.0,3674300.0,4.0,25390400.0,0.1447121746801941,159962.0,23148.448886193208
